50,0,27,54,13
49,0,27,53,12
48,0,26,52,11
47,0,26,52,10
46,0,25,51,8
45,0,25,50,7
44,0,25,49,6
43,0,24,49,5
42,0,24,48,4
41,0,24,47,3
40,0,23,46,2
39,0,23,46,0
38,0,22,45,63
37,0,22,44,62
36,0,22,43,61
35,0,21,42,59
34,0,21,41,58
33,0,20,41,57
32,0,20,40,55
31,0,19,39,54
30,0,19,38,53
29,0,18,37,51
28,0,18,36,50
27,0,18,35,49
26,0,17,34,47
25,0,17,33,46
24,0,16,32,44
23,0,16,31,43
22,0,15,30,42
21,0,15,29,40
20,0,14,28,39
19,0,14,27,37
18,0,13,26,36
17,0,13,25,34
16,0,12,24,33
15,0,12,23,31
14,0,11,22,30
13,0,11,21,28
12,0,10,20,27
11,0,10,19,25
10,0,9,18,24
9,0,9,17,22
8,0,8,16,20
7,0,8,15,19
6,0,7,14,17
5,0,7,13,16
4,0,6,12,14
3,0,6,11,13
2,0,5,10,11
1,0,5,9,10
0,0,4,8,8
-1,0,3,7,6
-2,0,3,6,5
-3,0,2,5,3
-4,0,2,4,2
-5,0,1,3,0
-6,0,1,2,63
-7,0,0,1,61
-8,0,0,0,60
-9,0,63,63,58
-10,0,63,62,56
-11,0,62,61,55
-12,0,62,60,53
-13,0,61,59,52
-14,0,61,58,50
-15,0,60,57,49
-16,0,60,56,47
-17,0,59,55,46
-18,0,59,54,44
-19,0,58,53,43
-20,0,58,52,41
-21,0,57,51,40
-22,0,57,50,38
-23,0,56,49,37
-24,0,56,48,36
-25,0,55,47,34
-26,0,55,46,33
-27,0,54,45,31
-28,0,54,44,30
-29,0,54,43,29
-30,0,53,42,27
-31,0,53,41,26
-32,0,52,40,25
-33,0,52,39,23
-34,0,51,39,22
-35,0,51,38,21
-36,0,50,37,19
-37,0,50,36,18
-38,0,50,35,17
-39,0,49,34,16
-40,0,49,34,14
-41,0,48,33,13
-42,0,48,32,12
-43,0,48,31,11
-44,0,47,31,10
-45,0,47,30,9
-46,0,47,29,8
-47,0,46,28,6
-48,0,46,28,5
-49,0,45,27,4
-50,0,45,26,3